Order ID,Customer ID,Rush Shipment,Cookies Shipped,Revenue,Cost,Order Date
103190,152689,Yes,526,2630,1315,02/10/2022
103240,325698,No,774,3870,1935,6/18/2022
107775,325698,Yes,208,1040,520,7/31/2022
108129,452584,Yes,434,2170,1085,8/17/2022
108365,452584,No,50,250,125,01/05/2022
111037,985245,No,360,1800,900,11/09/2022
111987,152689,Yes,147,735,367.5,7/15/2022
112953,785432,No,697,3485,1742.5,11/11/2022
113536,152689,Yes,770,3850,1925,12/03/2022
117415,785432,Yes,370,1850,925,1/21/2022
117498,452584,No,560,2800,1400,12/30/2022
119136,985245,No,856,4280,2140,01/10/2022
120299,325698,Yes,423,2115,1057.5,10/24/2022
122410,325698,Yes,799,3995,1997.5,01/07/2022
122648,785432,Yes,588,2940,1470,7/17/2022
125749,325698,No,465,2325,1162.5,12/04/2022
126086,152689,Yes,296,1480,740,07/09/2022
127484,152689,No,735,3675,1837.5,6/23/2022
127800,985245,Yes,277,1385,692.5,4/27/2022
127921,985245,Yes,714,3570,1785,6/26/2022
128442,152689,No,443,2215,1107.5,7/19/2022
129825,985245,No,235,1175,587.5,6/30/2022
130670,985245,No,660,3300,1650,01/01/2022
130740,452584,Yes,345,1725,862.5,12/05/2022
131485,325698,Yes,450,2250,1125,11/24/2022
131673,985245,No,449,2245,1122.5,9/17/2022
131704,985245,Yes,362,1810,905,7/17/2022
132382,152689,Yes,74,370,185,1/26/2022
133822,325698,No,146,730,365,07/10/2022
134004,985245,Yes,882,4410,2205,06/09/2022
134596,152689,Yes,318,1590,795,05/03/2022
134900,325698,No,119,595,297.5,7/27/2022
135063,785432,Yes,566,2830,1415,12/29/2022
135594,152689,Yes,623,3115,1557.5,9/30/2022
137268,452584,No,919,4595,2297.5,1/29/2022
141731,152689,Yes,755,3775,1887.5,4/15/2022
143263,152689,Yes,831,4155,2077.5,07/08/2022
143468,325698,No,894,4470,2235,12/10/2022
144015,985245,Yes,87,435,217.5,5/29/2022
144504,325698,Yes,891,4455,2227.5,09/09/2022
147508,325698,No,859,4295,2147.5,5/30/2022
147599,985245,No,156,780,390,07/10/2022
149389,325698,Yes,858,4290,2145,07/03/2022
149582,785432,No,856,4280,2140,06/09/2022
149805,785432,No,999,4995,2497.5,2/15/2022
150266,785432,No,776,3880,1940,2/27/2022
150495,325698,No,653,3265,1632.5,12/01/2022
152372,785432,No,640,3200,1600,02/05/2022
152600,152689,No,958,4790,2395,11/23/2022
152834,785432,No,262,1310,655,8/16/2022
153956,152689,No,510,2550,1275,8/19/2022
154861,452584,No,154,770,385,09/10/2022
155037,785432,No,187,935,467.5,07/11/2022
155799,152689,Yes,143,715,357.5,1/13/2022
156143,985245,No,818,4090,2045,08/02/2022
156742,325698,No,149,745,372.5,09/02/2022
157482,785432,No,756,3780,1890,02/09/2022
158779,325698,Yes,927,4635,2317.5,3/13/2022
158814,785432,No,513,2565,1282.5,05/05/2022
158819,325698,No,641,3205,1602.5,1/31/2022
159499,785432,Yes,287,1435,717.5,9/22/2022
159645,152689,No,567,2835,1417.5,1/27/2022
159992,452584,Yes,183,915,457.5,02/04/2022
160000,152689,No,538,2690,1345,04/09/2022
160960,325698,No,168,840,420,4/19/2022
161268,152689,Yes,326,1630,815,11/03/2022
161953,325698,No,610,3050,1525,5/24/2022
162413,152689,No,58,290,145,11/22/2022
162821,985245,Yes,862,4310,2155,05/04/2022
163588,452584,No,484,2420,1210,02/08/2022
168336,325698,No,687,3435,1717.5,7/17/2022
171664,325698,No,108,540,270,8/22/2022
171954,152689,No,537,2685,1342.5,11/10/2022
172383,985245,Yes,505,2525,1262.5,10/09/2022
174155,152689,Yes,736,3680,1840,04/10/2022
174563,452584,Yes,464,2320,1160,1/20/2022
174871,452584,No,80,400,200,04/07/2022
176295,985245,No,992,4960,2480,3/28/2022
177074,785432,Yes,841,4205,2102.5,6/21/2022
178573,985245,Yes,498,2490,1245,12/14/2022
179462,785432,Yes,719,3595,1797.5,8/25/2022
179818,152689,Yes,238,1190,595,11/05/2022
181674,325698,No,765,3825,1912.5,09/12/2022
181909,785432,Yes,987,4935,2467.5,8/22/2022
185832,985245,Yes,213,1065,532.5,05/12/2022
186135,985245,Yes,814,4070,2035,10/24/2022
186174,325698,No,452,2260,1130,11/21/2022
188674,325698,Yes,955,4775,2387.5,01/01/2022
189068,152689,No,717,3585,1792.5,7/19/2022
193032,325698,No,881,4405,2202.5,6/24/2022
194107,152689,Yes,333,1665,832.5,10/02/2022
195176,785432,Yes,78,390,195,9/29/2022
195955,325698,Yes,435,2175,1087.5,05/12/2022
198441,152689,No,931,4655,2327.5,7/19/2022
199375,985245,Yes,330,1650,825,03/04/2022
200373,985245,Yes,461,2305,1152.5,5/17/2022
200818,785432,No,745,3725,1862.5,6/13/2022
204987,325698,Yes,689,3445,1722.5,6/17/2022
206263,985245,No,703,3515,1757.5,02/08/2022
206613,152689,Yes,439,2195,1097.5,07/09/2022
206984,452584,No,990,4950,2475,4/14/2022
207376,785432,Yes,617,3085,1542.5,06/02/2022
207408,985245,Yes,796,3980,1990,03/11/2022
208842,985245,No,822,4110,2055,04/10/2022
210604,985245,No,654,3270,1635,07/06/2022
212570,325698,No,680,3400,1700,2/17/2022
213160,985245,No,769,3845,1922.5,11/06/2022
214019,452584,No,923,4615,2307.5,10/22/2022
214515,985245,No,77,385,192.5,6/16/2022
214995,152689,Yes,324,1620,810,02/05/2022
216539,985245,No,663,3315,1657.5,05/07/2022
217061,325698,No,696,3480,1740,12/23/2022
218938,785432,No,952,4760,2380,2/27/2022
219755,325698,Yes,108,540,270,6/13/2022
220231,152689,Yes,118,590,295,2/14/2022
220916,152689,Yes,605,3025,1512.5,1/30/2022
223330,785432,No,658,3290,1645,11/17/2022
